                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    140,                0.87853,                0.39195,                 1.0264,                0.97536,                0.93286,                 0.9777,                0.64853,                  1.275,                0.45885,                 1.2864,               0.000826,               0.000826,               0.000826
                    141,                0.87844,                0.38699,                 1.0273,                 0.9731,                0.94276,                 0.9782,                0.65232,                 1.2849,                0.46007,                 1.2877,                0.00076,                0.00076,                0.00076
                    142,                0.87827,                0.39173,                 1.0257,                0.96412,                0.95009,                0.97798,                 0.6505,                 1.2788,                0.46656,                  1.285,               0.000694,               0.000694,               0.000694
                    143,                0.87389,                0.38903,                 1.0293,                0.96381,                0.94143,                0.97475,                0.64809,                 1.2784,                0.46638,                 1.2867,               0.000628,               0.000628,               0.000628
                    144,                0.87672,                0.38711,                 1.0258,                0.97037,                0.93434,                0.97513,                0.65164,                 1.2747,                0.46067,                 1.2872,               0.000562,               0.000562,               0.000562
                    145,                0.85966,                0.38306,                 1.0203,                0.95328,                0.95118,                0.97771,                 0.6505,                 1.2755,                0.46515,                 1.2907,               0.000496,               0.000496,               0.000496
                    146,                0.86095,                 0.3792,                 1.0208,                0.97777,                0.93434,                0.97744,                0.65238,                 1.2764,                0.46194,                 1.2913,                0.00043,                0.00043,                0.00043
                    147,                0.85724,                0.38157,                 1.0166,                0.98056,                0.93414,                0.97779,                0.65321,                 1.2729,                0.45952,                 1.2898,               0.000364,               0.000364,               0.000364
                    148,                 0.8677,                0.38738,                 1.0221,                0.97375,                0.93657,                0.97632,                0.65402,                 1.2741,                0.46069,                 1.2893,               0.000298,               0.000298,               0.000298
                    149,                0.86977,                0.38497,                 1.0229,                0.96923,                0.94444,                0.97773,                0.65453,                 1.2737,                0.46208,                 1.2893,               0.000232,               0.000232,               0.000232
