                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     91,                 1.1438,                 0.5564,                 1.1466,                0.92179,                0.90944,                0.94534,                 0.6057,                 1.2919,                0.55887,                 1.2356,               0.008218,               0.008218,               0.008218
                     92,                 1.1333,                0.55564,                 1.1414,                0.93053,                0.90334,                0.94109,                0.60067,                 1.2884,                0.56327,                 1.2315,              0.0081982,              0.0081982,              0.0081982
                     93,                 1.1464,                 0.5573,                 1.1481,                0.90362,                0.90328,                0.93605,                0.59724,                 1.2748,                0.57737,                 1.2368,              0.0081784,              0.0081784,              0.0081784
                     94,                  1.141,                0.55404,                 1.1467,                 0.9124,                0.90309,                0.93702,                0.59228,                  1.277,                0.56681,                 1.2313,              0.0081586,              0.0081586,              0.0081586
                     95,                 1.1326,                0.55484,                  1.143,                0.91849,                0.91618,                0.93842,                0.59903,                 1.2753,                0.55172,                 1.2256,              0.0081388,              0.0081388,              0.0081388
                     96,                  1.135,                0.54831,                 1.1401,                0.91064,                0.92287,                0.93067,                0.58798,                 1.2769,                0.56293,                  1.229,               0.008119,               0.008119,               0.008119
                     97,                 1.1331,                0.55101,                 1.1385,                0.91358,                0.91329,                0.92623,                0.58233,                  1.265,                0.56669,                 1.2245,              0.0080992,              0.0080992,              0.0080992
                     98,                 1.1213,                0.54425,                 1.1393,                0.91904,                0.91862,                0.94752,                0.59706,                 1.2803,                0.54772,                 1.2348,              0.0080794,              0.0080794,              0.0080794
                     99,                 1.1362,                0.54626,                 1.1394,                 0.8976,                0.93064,                0.92782,                0.58791,                 1.2682,                0.56087,                  1.225,              0.0080596,              0.0080596,              0.0080596
                    100,                   1.14,                0.54815,                 1.1412,                0.91005,                0.92591,                0.93976,                0.59945,                 1.2572,                 0.5466,                 1.2196,              0.0080398,              0.0080398,              0.0080398
                    101,                 1.1354,                0.55076,                  1.137,                0.91578,                0.92186,                0.93141,                0.59322,                 1.2568,                0.55663,                 1.2209,                0.00802,                0.00802,                0.00802
                    102,                 1.1354,                0.54555,                  1.138,                0.90173,                0.92871,                0.93455,                0.59875,                 1.2527,                0.55518,                 1.2103,              0.0080002,              0.0080002,              0.0080002
                    103,                   1.11,                0.53642,                 1.1258,                0.91431,                  0.921,                  0.934,                0.59791,                 1.2591,                  0.551,                  1.216,              0.0079804,              0.0079804,              0.0079804
                    104,                 1.1231,                0.53748,                 1.1283,                0.91151,                0.91811,                0.93559,                0.60249,                 1.2508,                0.55114,                 1.2111,              0.0079606,              0.0079606,              0.0079606
                    105,                 1.1221,                0.53635,                 1.1228,                0.91214,                0.92016,                0.93086,                0.59561,                 1.2469,                 0.5454,                 1.2035,              0.0079408,              0.0079408,              0.0079408
                    106,                 1.1215,                0.53879,                 1.1307,                 0.9033,                0.91715,                0.92935,                0.60124,                 1.2446,                0.54399,                  1.208,               0.007921,               0.007921,               0.007921
                    107,                 1.1262,                0.53965,                 1.1291,                0.92582,                 0.9258,                0.95953,                 0.6274,                 1.2372,                0.52639,                 1.2013,              0.0079012,              0.0079012,              0.0079012
                    108,                 1.1055,                0.53393,                 1.1256,                0.92512,                0.92837,                0.94263,                0.61293,                 1.2278,                0.52723,                 1.1977,              0.0078814,              0.0078814,              0.0078814
                    109,                 1.1134,                0.53672,                 1.1275,                 0.9173,                0.92678,                0.94228,                0.60878,                 1.2484,                0.53135,                 1.2032,              0.0078616,              0.0078616,              0.0078616
                    110,                 1.1196,                0.53794,                 1.1327,                0.91655,                0.93116,                0.94678,                0.61248,                 1.2424,                0.53174,                  1.203,              0.0078418,              0.0078418,              0.0078418
                    111,                 1.1089,                0.53546,                 1.1254,                0.91701,                0.92614,                0.93925,                0.60951,                 1.2261,                 0.5261,                  1.194,               0.007822,               0.007822,               0.007822
                    112,                 1.1137,                0.53609,                 1.1297,                0.91251,                 0.9345,                0.93803,                0.60582,                 1.2299,                0.52439,                 1.2032,              0.0078022,              0.0078022,              0.0078022
                    113,                 1.1139,                0.53338,                  1.128,                0.91542,                0.93843,                0.95257,                0.61864,                 1.2192,                0.52333,                 1.1959,              0.0077824,              0.0077824,              0.0077824
                    114,                 1.1037,                0.53007,                 1.1206,                0.91708,                0.93763,                0.94212,                 0.6121,                 1.2247,                0.51917,                 1.1994,              0.0077626,              0.0077626,              0.0077626
                    115,                 1.1076,                0.53056,                 1.1233,                0.90876,                 0.9316,                  0.924,                0.60316,                 1.2283,                0.52522,                 1.1964,              0.0077428,              0.0077428,              0.0077428
                    116,                 1.1077,                0.53062,                  1.119,                0.91179,                0.92582,                0.92804,                 0.6027,                 1.2241,                0.52869,                 1.1934,               0.007723,               0.007723,               0.007723
                    117,                 1.1144,                0.52738,                 1.1219,                0.90548,                0.93449,                0.92921,                0.60878,                 1.2329,                0.52374,                  1.196,              0.0077032,              0.0077032,              0.0077032
                    118,                 1.1052,                0.52552,                 1.1212,                 0.9219,                0.93064,                0.94879,                 0.6166,                  1.239,                0.51365,                 1.2015,              0.0076834,              0.0076834,              0.0076834
                    119,                 1.1014,                0.52713,                 1.1202,                0.89785,                0.94837,                 0.9428,                0.61837,                 1.2293,                0.52136,                 1.1935,              0.0076636,              0.0076636,              0.0076636
                    120,                 1.0916,                0.52137,                 1.1162,                0.92244,                0.94509,                0.95033,                0.62524,                 1.2174,                 0.5015,                 1.1912,              0.0076438,              0.0076438,              0.0076438
                    121,                 1.0905,                0.52333,                 1.1138,                0.92643,                0.93418,                0.94352,                0.62561,                 1.2127,                0.50536,                 1.1849,               0.007624,               0.007624,               0.007624
